log_id,roll_no,course_code,session_date,status
L00054,BSAI-23-001,CS121,25-03-2024,P
L00055,BSAI-23-002,CS101,22-01-2024,P
L00056,BSAI-23-002,CS101,24-01-2024,P
L00057,BSAI-23-002,CS101,29-01-2024,P
L00058,BSAI-23-002,CS101,31-01-2024,P
L00059,BSAI-23-002,CS101,05-02-2024,P
L00060,BSAI-23-002,CS101,07-02-2024,P
L00061,BSAI-23-002,CS101,12-02-2024,P
L00062,BSAI-23-002,CS101,14-02-2024,L
L00063,BSAI-23-002,CS101,19-02-2024,A
L00064,BSAI-23-002,CS101,21-02-2024,P
L00065,BSAI-23-002,CS101,26-02-2024,P
L00066,BSAI-23-002,CS101,28-02-2024,P
L00067,BSAI-23-002,CS111,23-01-2024,P
L00068,BSAI-23-002,CS111,25-01-2024,P
L00069,BSAI-23-002,CS111,30-01-2024,P
L00070,BSAI-23-002,CS111,01-02-2024,L
L00071,BSAI-23-002,CS111,06-02-2024,A
L00072,BSAI-23-002,CS111,08-02-2024,P
L00073,BSAI-23-002,CS111,13-02-2024,P
L00074,BSAI-23-002,CS111,15-02-2024,P
L00075,BSAI-23-002,CS111,20-02-2024,P
L00076,BSAI-23-002,CS111,22-02-2024,P
L00077,BSAI-23-002,CS111,27-02-2024,P
L00078,BSAI-23-002,CS111,29-02-2024,P
L00079,BSAI-23-002,HU101,22-01-2024,A
L00080,BSAI-23-002,HU101,29-01-2024,P
L00081,BSAI-23-002,HU101,05-02-2024,P
L00082,BSAI-23-002,HU101,12-02-2024,P
L00083,BSAI-23-002,HU101,19-02-2024,P
L00084,BSAI-23-002,HU101,26-02-2024,P
L00085,BSAI-23-002,HU101,04-03-2024,P
L00086,BSAI-23-002,HU101,11-03-2024,P
L00087,BSAI-23-002,HU101,18-03-2024,P
L00088,BSAI-23-002,HU101,25-03-2024,L
L00089,BSAI-23-002,IS101,23-01-2024,P
L00090,BSAI-23-002,IS101,30-01-2024,P
L00091,BSAI-23-002,IS101,06-02-2024,P
L00092,BSAI-23-002,IS101,13-02-2024,P
L00093,BSAI-23-002,IS101,20-02-2024,P
L00094,BSAI-23-002,IS101,27-02-2024,P
L00095,BSAI-23-002,IS101,05-03-2024,P
L00096,BSAI-23-002,IS101,12-03-2024,P
L00097,BSAI-23-002,IS101,19-03-2024,L
L00098,BSAI-23-002,IS101,26-03-2024,A
L00099,BSAI-23-003,CS101,22-01-2024,P
L00100,BSAI-23-003,CS101,24-01-2024,P
L00101,BSAI-23-003,CS101,29-01-2024,P
L00102,BSAI-23-003,CS101,31-01-2024,P
L00103,BSAI-23-003,CS101,05-02-2024,P
L00104,BSAI-23-003,CS101,07-02-2024,P
L00105,BSAI-23-003,CS101,12-02-2024,P
L00106,BSAI-23-003,CS101,14-02-2024,L
L00107,BSAI-23-003,CS101,19-02-2024,A
L00108,BSAI-23-003,CS101,21-02-2024,P
L00109,BSAI-23-003,CS101,26-02-2024,P
L00110,BSAI-23-003,CS101,28-02-2024,P
L00111,BSAI-23-003,CS111,23-01-2024,A
L00112,BSAI-23-003,CS111,25-01-2024,P
L00113,BSAI-23-003,CS111,30-01-2024,P
L00114,BSAI-23-003,CS111,01-02-2024,P
L00115,BSAI-23-003,CS111,06-02-2024,P
L00116,BSAI-23-003,CS111,08-02-2024,P
L00117,BSAI-23-003,CS111,13-02-2024,P
L00118,BSAI-23-003,CS111,15-02-2024,P
L00119,BSAI-23-003,CS111,20-02-2024,P
L00120,BSAI-23-003,CS111,22-02-2024,L
L00121,BSAI-23-003,CS111,27-02-2024,A
L00122,BSAI-23-003,CS111,29-02-2024,P
L00123,BSAI-23-003,HU101,22-01-2024,L
L00124,BSAI-23-003,HU101,29-01-2024,A
L00125,BSAI-23-003,HU101,05-02-2024,P
L00126,BSAI-23-003,HU101,12-02-2024,P
L00127,BSAI-23-003,HU101,19-02-2024,P
L00128,BSAI-23-003,HU101,26-02-2024,P
L00129,BSAI-23-003,HU101,04-03-2024,P
L00130,BSAI-23-003,HU101,11-03-2024,P
L00131,BSAI-23-003,HU101,18-03-2024,P
L00132,BSAI-23-003,HU101,25-03-2024,P
L00133,BSAI-23-003,IS101,23-01-2024,P
L00134,BSAI-23-003,IS101,30-01-2024,P
L00135,BSAI-23-003,IS101,06-02-2024,L
L00136,BSAI-23-003,IS101,13-02-2024,A
L00137,BSAI-23-003,IS101,20-02-2024,P
L00138,BSAI-23-003,IS101,27-02-2024,P
L00139,BSAI-23-003,IS101,05-03-2024,P
L00140,BSAI-23-003,IS101,12-03-2024,P
L00141,BSAI-23-003,IS101,19-03-2024,P
L00142,BSAI-23-003,IS101,26-03-2024,P
L00143,BSAI-23-004,CS101,22-01-2024,P
L00144,BSAI-23-004,CS101,24-01-2024,A
L00145,BSAI-23-004,CS101,29-01-2024,L
L00146,BSAI-23-004,CS101,31-01-2024,P
L00147,BSAI-23-004,CS101,05-02-2024,P
L00148,BSAI-23-004,CS101,07-02-2024,P
L00149,BSAI-23-004,CS101,12-02-2024,A
L00150,BSAI-23-004,CS101,14-02-2024,L
L00151,BSAI-23-004,CS101,19-02-2024,P
L00152,BSAI-23-004,CS101,21-02-2024,P
L00153,BSAI-23-004,CS101,26-02-2024,P
L00154,BSAI-23-004,CS101,28-02-2024,A
L00155,BSAI-23-004,CS111,23-01-2024,P
L00156,BSAI-23-004,CS111,25-01-2024,A
L00157,BSAI-23-004,CS111,30-01-2024,L
L00158,BSAI-23-004,CS111,01-02-2024,P
L00159,BSAI-23-004,CS111,06-02-2024,P
L00160,BSAI-23-004,CS111,08-02-2024,P
L00161,BSAI-23-004,CS111,13-02-2024,A
L00162,BSAI-23-004,CS111,15-02-2024,L
L00163,BSAI-23-004,CS111,20-02-2024,P
L00164,BSAI-23-004,CS111,22-02-2024,P
L00165,BSAI-23-004,CS111,27-02-2024,P
L00166,BSAI-23-004,CS111,29-02-2024,A
L00167,BSAI-23-004,HU101,22-01-2024,P
L00168,BSAI-23-004,HU101,29-01-2024,A
L00169,BSAI-23-004,HU101,05-02-2024,L
L00170,BSAI-23-004,HU101,12-02-2024,P
L00171,BSAI-23-004,HU101,19-02-2024,P
L00172,BSAI-23-004,HU101,26-02-2024,P
L00173,BSAI-23-004,HU101,04-03-2024,A
L00174,BSAI-23-004,HU101,11-03-2024,L
L00175,BSAI-23-004,HU101,18-03-2024,P
L00176,BSAI-23-004,HU101,25-03-2024,P
L00177,BSAI-23-004,IS101,23-01-2024,P
L00178,BSAI-23-004,IS101,30-01-2024,A
L00179,BSAI-23-004,IS101,06-02-2024,L
L00180,BSAI-23-004,IS101,13-02-2024,P
L00181,BSAI-23-004,IS101,20-02-2024,P
L00182,BSAI-23-004,IS101,27-02-2024,P
L00183,BSAI-23-004,IS101,05-03-2024,A
L00184,BSAI-23-004,IS101,12-03-2024,L
L00185,BSAI-23-004,IS101,19-03-2024,P
L00186,BSAI-23-004,IS101,26-03-2024,P
L00187,BSAI-23-004,CS121,22-01-2024,P
L00188,BSAI-23-004,CS121,29-01-2024,A
L00189,BSAI-23-004,CS121,05-02-2024,L
L00190,BSAI-23-004,CS121,12-02-2024,P
L00191,BSAI-23-004,CS121,19-02-2024,P
L00192,BSAI-23-004,CS121,26-02-2024,P
L00193,BSAI-23-004,CS121,04-03-2024,A
L00194,BSAI-23-004,CS121,11-03-2024,L
L00195,BSAI-23-004,CS121,18-03-2024,P
L00196,BSAI-23-004,CS121,25-03-2024,P
L00197,BSAI-23-005,CS101,22-01-2024,A
L00198,BSAI-23-005,CS101,24-01-2024,P
L00199,BSAI-23-005,CS101,29-01-2024,P
L00200,BSAI-23-005,CS101,31-01-2024,P
L00201,BSAI-23-005,CS101,05-02-2024,P
L00202,BSAI-23-005,CS101,07-02-2024,P
L00203,BSAI-23-005,CS101,12-02-2024,P
L00204,BSAI-23-005,CS101,14-02-2024,P
L00205,BSAI-23-005,CS101,19-02-2024,P
L00206,BSAI-23-005,CS101,21-02-2024,L
L00207,BSAI-23-005,CS101,26-02-2024,A
L00208,BSAI-23-005,CS101,28-02-2024,P
L00209,BSAI-23-005,CS111,23-01-2024,A
L00210,BSAI-23-005,CS111,25-01-2024,P
L00211,BSAI-23-005,CS111,30-01-2024,P
L00212,BSAI-23-005,CS111,01-02-2024,P
L00213,BSAI-23-005,CS111,06-02-2024,P
L00214,BSAI-23-005,CS111,08-02-2024,P
L00215,BSAI-23-005,CS111,13-02-2024,P
L00216,BSAI-23-005,CS111,15-02-2024,P
L00217,BSAI-23-005,CS111,20-02-2024,P
L00218,BSAI-23-005,CS111,22-02-2024,L
L00219,BSAI-23-005,CS111,27-02-2024,A
L00220,BSAI-23-005,CS111,29-02-2024,P
L00221,BSAI-23-005,HU101,22-01-2024,P
L00222,BSAI-23-005,HU101,29-01-2024,P
L00223,BSAI-23-005,HU101,05-02-2024,P
L00224,BSAI-23-005,HU101,12-02-2024,P
L00225,BSAI-23-005,HU101,19-02-2024,P
L00226,BSAI-23-005,HU101,26-02-2024,P
L00227,BSAI-23-005,HU101,04-03-2024,P
L00228,BSAI-23-005,HU101,11-03-2024,P
L00229,BSAI-23-005,HU101,18-03-2024,L
L00230,BSAI-23-005,HU101,25-03-2024,A
L00231,BSAI-23-005,IS101,23-01-2024,P
L00232,BSAI-23-005,IS101,30-01-2024,L
L00233,BSAI-23-005,IS101,06-02-2024,A
L00234,BSAI-23-005,IS101,13-02-2024,P
L00235,BSAI-23-005,IS101,20-02-2024,P
L00236,BSAI-23-005,IS101,27-02-2024,P
L00237,BSAI-23-005,IS101,05-03-2024,P
L00238,BSAI-23-005,IS101,12-03-2024,P
L00239,BSAI-23-005,IS101,19-03-2024,P
L00240,BSAI-23-005,IS101,26-03-2024,P
L00241,BSAI-23-006,CS101,22-01-2024,P
L00242,BSAI-23-006,CS101,24-01-2024,P
L00243,BSAI-23-006,CS101,29-01-2024,P
L00244,BSAI-23-006,CS101,31-01-2024,P
L00245,BSAI-23-006,CS101,05-02-2024,P
L00246,BSAI-23-006,CS101,07-02-2024,P
L00247,BSAI-23-006,CS101,12-02-2024,P
L00248,BSAI-23-006,CS101,14-02-2024,P
L00249,BSAI-23-006,CS101,19-02-2024,L
L00250,BSAI-23-006,CS101,21-02-2024,A
L00251,BSAI-23-006,CS101,26-02-2024,P
L00252,BSAI-23-006,CS101,28-02-2024,P
L00253,BSAI-23-006,CS111,23-01-2024,P
L00254,BSAI-23-006,CS111,25-01-2024,P
L00255,BSAI-23-006,CS111,30-01-2024,L
L00256,BSAI-23-006,CS111,01-02-2024,A
L00257,BSAI-23-006,CS111,06-02-2024,P
L00258,BSAI-23-006,CS111,08-02-2024,P
L00259,BSAI-23-006,CS111,13-02-2024,P
L00260,BSAI-23-006,CS111,15-02-2024,P
L00261,BSAI-23-006,CS111,20-02-2024,P
L00262,BSAI-23-006,CS111,22-02-2024,P
L00263,BSAI-23-006,CS111,27-02-2024,P
L00264,BSAI-23-006,CS111,29-02-2024,P
L00265,BSAI-23-006,HU101,22-01-2024,P
L00266,BSAI-23-006,HU101,29-01-2024,P
L00267,BSAI-23-006,HU101,05-02-2024,P
L00268,BSAI-23-006,HU101,12-02-2024,P
L00269,BSAI-23-006,HU101,19-02-2024,P
L00270,BSAI-23-006,HU101,26-02-2024,L
L00271,BSAI-23-006,HU101,04-03-2024,A
L00272,BSAI-23-006,HU101,11-03-2024,P
L00273,BSAI-23-006,HU101,18-03-2024,P
L00274,BSAI-23-006,HU101,25-03-2024,P
L00275,BSAI-23-006,IS101,23-01-2024,P
L00276,BSAI-23-006,IS101,30-01-2024,P
L00277,BSAI-23-006,IS101,06-02-2024,P
L00278,BSAI-23-006,IS101,13-02-2024,P
L00279,BSAI-23-006,IS101,20-02-2024,P
L00280,BSAI-23-006,IS101,27-02-2024,P
L00281,BSAI-23-006,IS101,05-03-2024,P
L00282,BSAI-23-006,IS101,12-03-2024,L
L00283,BSAI-23-006,IS101,19-03-2024,A
L00284,BSAI-23-006,IS101,26-03-2024,P
L00285,BSAI-23-006,CS121,22-01-2024,L
L00286,BSAI-23-006,CS121,29-01-2024,A
L00287,BSAI-23-006,CS121,05-02-2024,P
L00288,BSAI-23-006,CS121,12-02-2024,P
L00289,BSAI-23-006,CS121,19-02-2024,P
L00290,BSAI-23-006,CS121,26-02-2024,P
L00291,BSAI-23-006,CS121,04-03-2024,P
L00292,BSAI-23-006,CS121,11-03-2024,P
L00293,BSAI-23-006,CS121,18-03-2024,P
L00294,BSAI-23-006,CS121,25-03-2024,P
L00295,BSAI-23-007,CS101,22-01-2024,A
L00296,BSAI-23-007,CS101,24-01-2024,P
L00297,BSAI-23-007,CS101,29-01-2024,A
L00298,BSAI-23-007,CS101,31-01-2024,A
L00299,BSAI-23-007,CS101,05-02-2024,P
L00300,BSAI-23-007,CS101,07-02-2024,A
L00301,BSAI-23-007,CS101,12-02-2024,A
L00302,BSAI-23-007,CS101,14-02-2024,P
L00303,BSAI-23-007,CS101,19-02-2024,A
L00304,BSAI-23-007,CS101,21-02-2024,A
L00305,BSAI-23-007,CS101,26-02-2024,P
L00306,BSAI-23-007,CS101,28-02-2024,A
L00307,BSAI-23-007,CS111,23-01-2024,P
L00308,BSAI-23-007,CS111,25-01-2024,A
L00309,BSAI-23-007,CS111,30-01-2024,A
L00310,BSAI-23-007,CS111,01-02-2024,P
L00311,BSAI-23-007,CS111,06-02-2024,A
L00312,BSAI-23-007,CS111,08-02-2024,A
L00313,BSAI-23-007,CS111,13-02-2024,P
L00314,BSAI-23-007,CS111,15-02-2024,A
L00315,BSAI-23-007,CS111,20-02-2024,A
L00316,BSAI-23-007,CS111,22-02-2024,P
L00317,BSAI-23-007,CS111,27-02-2024,A
L00318,BSAI-23-007,CS111,29-02-2024,A
L00319,BSAI-23-007,HU101,22-01-2024,A
L00320,BSAI-23-007,HU101,29-01-2024,P
L00321,BSAI-23-007,HU101,05-02-2024,A
L00322,BSAI-23-007,HU101,12-02-2024,A
L00323,BSAI-23-007,HU101,19-02-2024,P
L00324,BSAI-23-007,HU101,26-02-2024,A
L00325,BSAI-23-007,HU101,04-03-2024,A
L00326,BSAI-23-007,HU101,11-03-2024,P
L00327,BSAI-23-007,HU101,18-03-2024,A
L00328,BSAI-23-007,HU101,25-03-2024,A
L00329,BSAI-23-007,IS101,23-01-2024,A
L00330,BSAI-23-007,IS101,30-01-2024,P
L00331,BSAI-23-007,IS101,06-02-2024,A
L00332,BSAI-23-007,IS101,13-02-2024,A
L00333,BSAI-23-007,IS101,20-02-2024,P
L00334,BSAI-23-007,IS101,27-02-2024,A
L00335,BSAI-23-007,IS101,05-03-2024,A
L00336,BSAI-23-007,IS101,12-03-2024,P
L00337,BSAI-23-007,IS101,19-03-2024,A
L00338,BSAI-23-007,IS101,26-03-2024,A
L00339,BSAI-23-008,CS101,22-01-2024,P
L00340,BSAI-23-008,CS101,24-01-2024,P
L00341,BSAI-23-008,CS101,29-01-2024,P
L00342,BSAI-23-008,CS101,31-01-2024,L
L00343,BSAI-23-008,CS101,05-02-2024,A
L00344,BSAI-23-008,CS101,07-02-2024,P
L00345,BSAI-23-008,CS101,12-02-2024,P
L00346,BSAI-23-008,CS101,14-02-2024,P
L00347,BSAI-23-008,CS101,19-02-2024,P
L00348,BSAI-23-008,CS101,21-02-2024,P
L00349,BSAI-23-008,CS101,26-02-2024,P
L00350,BSAI-23-008,CS101,28-02-2024,P
L00351,BSAI-23-008,CS111,23-01-2024,P
L00352,BSAI-23-008,CS111,25-01-2024,P
L00353,BSAI-23-008,CS111,30-01-2024,L
L00354,BSAI-23-008,CS111,01-02-2024,A
L00355,BSAI-23-008,CS111,06-02-2024,P
L00356,BSAI-23-008,CS111,08-02-2024,P
L00357,BSAI-23-008,CS111,13-02-2024,P
L00358,BSAI-23-008,CS111,15-02-2024,P
L00359,BSAI-23-008,CS111,20-02-2024,P
L00360,BSAI-23-008,CS111,22-02-2024,P
L00361,BSAI-23-008,CS111,27-02-2024,P
L00362,BSAI-23-008,CS111,29-02-2024,P
L00363,BSAI-23-008,HU101,22-01-2024,L
L00364,BSAI-23-008,HU101,29-01-2024,A
L00365,BSAI-23-008,HU101,05-02-2024,P
L00366,BSAI-23-008,HU101,12-02-2024,P
L00367,BSAI-23-008,HU101,19-02-2024,P
L00368,BSAI-23-008,HU101,26-02-2024,P
L00369,BSAI-23-008,HU101,04-03-2024,P
L00370,BSAI-23-008,HU101,11-03-2024,P
L00371,BSAI-23-008,HU101,18-03-2024,P
L00372,BSAI-23-008,HU101,25-03-2024,P
L00373,BSAI-23-008,IS101,23-01-2024,P
L00374,BSAI-23-008,IS101,30-01-2024,P
L00375,BSAI-23-008,IS101,06-02-2024,L
L00376,BSAI-23-008,IS101,13-02-2024,A
L00377,BSAI-23-008,IS101,20-02-2024,P
L00378,BSAI-23-008,IS101,27-02-2024,P
L00379,BSAI-23-008,IS101,05-03-2024,P
L00380,BSAI-23-008,IS101,12-03-2024,P
L00381,BSAI-23-008,IS101,19-03-2024,P
L00382,BSAI-23-008,IS101,26-03-2024,P
L00383,BSAI-23-009,CS101,22-01-2024,P
L00384,BSAI-23-009,CS101,24-01-2024,P
L00385,BSAI-23-009,CS101,29-01-2024,P
L00386,BSAI-23-009,CS101,31-01-2024,P
L00387,BSAI-23-009,CS101,05-02-2024,P
L00388,BSAI-23-009,CS101,07-02-2024,P
L00389,BSAI-23-009,CS101,12-02-2024,L
L00390,BSAI-23-009,CS101,14-02-2024,A
L00391,BSAI-23-009,CS101,19-02-2024,P
L00392,BSAI-23-009,CS101,21-02-2024,P
L00393,BSAI-23-009,CS101,26-02-2024,P
L00394,BSAI-23-009,CS101,28-02-2024,P
L00395,BSAI-23-009,CS111,23-01-2024,P
L00396,BSAI-23-009,CS111,25-01-2024,P
L00397,BSAI-23-009,CS111,30-01-2024,P
L00398,BSAI-23-009,CS111,01-02-2024,P
L00399,BSAI-23-009,CS111,06-02-2024,P
L00400,BSAI-23-009,CS111,08-02-2024,L
L00401,BSAI-23-009,CS111,13-02-2024,A
L00402,BSAI-23-009,CS111,15-02-2024,P
L00403,BSAI-23-009,CS111,20-02-2024,P
L00404,BSAI-23-009,CS111,22-02-2024,P
L00405,BSAI-23-009,CS111,27-02-2024,P
L00406,BSAI-23-009,CS111,29-02-2024,P
L00407,BSAI-23-009,HU101,22-01-2024,P
L00408,BSAI-23-009,HU101,29-01-2024,P
L00409,BSAI-23-009,HU101,05-02-2024,P
L00410,BSAI-23-009,HU101,12-02-2024,L
L00411,BSAI-23-009,HU101,19-02-2024,A
L00412,BSAI-23-009,HU101,26-02-2024,P
L00413,BSAI-23-009,HU101,04-03-2024,P
L00414,BSAI-23-009,HU101,11-03-2024,P
L00415,BSAI-23-009,HU101,18-03-2024,P
L00416,BSAI-23-009,HU101,25-03-2024,P
L00417,BSAI-23-009,IS101,23-01-2024,P
L00418,BSAI-23-009,IS101,30-01-2024,P
L00419,BSAI-23-009,IS101,06-02-2024,P
L00420,BSAI-23-009,IS101,13-02-2024,P
L00421,BSAI-23-009,IS101,20-02-2024,P
L00422,BSAI-23-009,IS101,27-02-2024,P
L00423,BSAI-23-009,IS101,05-03-2024,L
L00424,BSAI-23-009,IS101,12-03-2024,A
L00425,BSAI-23-009,IS101,19-03-2024,P
L00426,BSAI-23-009,IS101,26-03-2024,P
L00427,BSAI-23-010,CS101,22-01-2024,P
L00428,BSAI-23-010,CS101,24-01-2024,P
L00429,BSAI-23-010,CS101,29-01-2024,P
L00430,BSAI-23-010,CS101,31-01-2024,A
L00431,BSAI-23-010,CS101,05-02-2024,L
L00432,BSAI-23-010,CS101,07-02-2024,P
L00433,BSAI-23-010,CS101,12-02-2024,P
L00434,BSAI-23-010,CS101,14-02-2024,P
L00435,BSAI-23-010,CS101,19-02-2024,A
L00436,BSAI-23-010,CS101,21-02-2024,L
L00437,BSAI-23-010,CS101,26-02-2024,P
L00438,BSAI-23-010,CS101,28-02-2024,P
L00439,BSAI-23-010,CS111,23-01-2024,P
L00440,BSAI-23-010,CS111,25-01-2024,P
L00441,BSAI-23-010,CS111,30-01-2024,P
L00442,BSAI-23-010,CS111,01-02-2024,A
L00443,BSAI-23-010,CS111,06-02-2024,L
L00444,BSAI-23-010,CS111,08-02-2024,P
L00445,BSAI-23-010,CS111,13-02-2024,P
L00446,BSAI-23-010,CS111,15-02-2024,P
L00447,BSAI-23-010,CS111,20-02-2024,A
L00448,BSAI-23-010,CS111,22-02-2024,L
L00449,BSAI-23-010,CS111,27-02-2024,P
L00450,BSAI-23-010,CS111,29-02-2024,P
L00451,BSAI-23-010,HU101,22-01-2024,P
L00452,BSAI-23-010,HU101,29-01-2024,P
L00453,BSAI-23-010,HU101,05-02-2024,P
L00454,BSAI-23-010,HU101,12-02-2024,A
L00455,BSAI-23-010,HU101,19-02-2024,L
L00456,BSAI-23-010,HU101,26-02-2024,P
L00457,BSAI-23-010,HU101,04-03-2024,P
L00458,BSAI-23-010,HU101,11-03-2024,P
L00459,BSAI-23-010,HU101,18-03-2024,A
L00460,BSAI-23-010,HU101,25-03-2024,L
L00461,BSAI-23-010,IS101,23-01-2024,P
L00462,BSAI-23-010,IS101,30-01-2024,P
L00463,BSAI-23-010,IS101,06-02-2024,P
L00464,BSAI-23-010,IS101,13-02-2024,A
L00465,BSAI-23-010,IS101,20-02-2024,L
L00466,BSAI-23-010,IS101,27-02-2024,P
L00467,BSAI-23-010,IS101,05-03-2024,P
L00468,BSAI-23-010,IS101,12-03-2024,P
L00469,BSAI-23-010,IS101,19-03-2024,A
L00470,BSAI-23-010,IS101,26-03-2024,L
L00471,BSAI-23-011,CS101,22-01-2024,P
L00472,BSAI-23-011,CS101,24-01-2024,P
L00473,BSAI-23-011,CS101,29-01-2024,L
L00474,BSAI-23-011,CS101,31-01-2024,A
L00475,BSAI-23-011,CS101,05-02-2024,P
L00476,BSAI-23-011,CS101,07-02-2024,P
L00477,BSAI-23-011,CS101,12-02-2024,P
L00478,BSAI-23-011,CS101,14-02-2024,P
L00479,BSAI-23-011,CS101,19-02-2024,P
L00480,BSAI-23-011,CS101,21-02-2024,P
L00481,BSAI-23-011,CS101,26-02-2024,P
L00482,BSAI-23-011,CS101,28-02-2024,P
L00483,BSAI-23-011,CS111,23-01-2024,A
L00484,BSAI-23-011,CS111,25-01-2024,P
L00485,BSAI-23-011,CS111,30-01-2024,P
L00486,BSAI-23-011,CS111,01-02-2024,P
L00487,BSAI-23-011,CS111,06-02-2024,P
L00488,BSAI-23-011,CS111,08-02-2024,P
L00489,BSAI-23-011,CS111,13-02-2024,P
L00490,BSAI-23-011,CS111,15-02-2024,P
L00491,BSAI-23-011,CS111,20-02-2024,P
L00492,BSAI-23-011,CS111,22-02-2024,L
L00493,BSAI-23-011,CS111,27-02-2024,A
L00494,BSAI-23-011,CS111,29-02-2024,P
L00495,BSAI-23-011,HU101,22-01-2024,P
L00496,BSAI-23-011,HU101,29-01-2024,L
L00497,BSAI-23-011,HU101,05-02-2024,A
L00498,BSAI-23-011,HU101,12-02-2024,P
L00499,BSAI-23-011,HU101,19-02-2024,P
L00500,BSAI-23-011,HU101,26-02-2024,P
L00501,BSAI-23-011,HU101,04-03-2024,P
L00502,BSAI-23-011,HU101,11-03-2024,P
L00503,BSAI-23-011,HU101,18-03-2024,P
L00504,BSAI-23-011,HU101,25-03-2024,P
L00505,BSAI-23-011,IS101,23-01-2024,P
L00506,BSAI-23-011,IS101,30-01-2024,P
L00507,BSAI-23-011,IS101,06-02-2024,P
L00508,BSAI-23-011,IS101,13-02-2024,P
L00509,BSAI-23-011,IS101,20-02-2024,L
L00510,BSAI-23-011,IS101,27-02-2024,A
L00511,BSAI-23-011,IS101,05-03-2024,P
L00512,BSAI-23-011,IS101,12-03-2024,P
L00513,BSAI-23-011,IS101,19-03-2024,P
L00514,BSAI-23-011,IS101,26-03-2024,P
L00515,BSAI-23-012,CS101,22-01-2024,L
L00516,BSAI-23-012,CS101,24-01-2024,A
L00517,BSAI-23-012,CS101,29-01-2024,P
L00518,BSAI-23-012,CS101,31-01-2024,P
L00519,BSAI-23-012,CS101,05-02-2024,P
L00520,BSAI-23-012,CS101,07-02-2024,P
L00521,BSAI-23-012,CS101,12-02-2024,P
L00522,BSAI-23-012,CS101,14-02-2024,P
L00523,BSAI-23-012,CS101,19-02-2024,P
L00524,BSAI-23-012,CS101,21-02-2024,P
L00525,BSAI-23-012,CS101,26-02-2024,L
L00526,BSAI-23-012,CS101,28-02-2024,A
L00527,BSAI-23-012,CS111,23-01-2024,P
L00528,BSAI-23-012,CS111,25-01-2024,P
L00529,BSAI-23-012,CS111,30-01-2024,P
L00530,BSAI-23-012,CS111,01-02-2024,P
L00531,BSAI-23-012,CS111,06-02-2024,L
L00532,BSAI-23-012,CS111,08-02-2024,A
L00533,BSAI-23-012,CS111,13-02-2024,P
L00534,BSAI-23-012,CS111,15-02-2024,P
L00535,BSAI-23-012,CS111,20-02-2024,P
L00536,BSAI-23-012,CS111,22-02-2024,P
L00537,BSAI-23-012,CS111,27-02-2024,P
